source_label;nature;perimeter;services;observation_count;market_count;dpo_count;legal_count;historical_count;status;checked;source
Administra-Tiff;Prestataire administratif / RGPD;2 tarif(s) public(s) relevé(s);Diagnostic / audit initial RGPD · Mise en conformité RGPD;2;2;0;0;0;2 marché;2026-08-18;https://www.administra-tiff.fr/
Allo Site Internet;Agence web;1 tarif(s) public(s) relevé(s);Mise en conformité RGPD de site web;1;1;0;0;0;1 marché;2026-08-18;https://allositeinternet.com/
AQUI O Thermes;Service mutualisé;6 tarif(s) public(s) relevé(s);Diagnostic RGPD simple · Mise en conformité RGPD;6;0;0;0;6;6 historique;2026-08-18;https://www.aquiothermes.fr/
Aurele IT;Cabinet / avocat-DPO;1 tarif(s) public(s) relevé(s);Diagnostic / audit initial RGPD;1;0;0;1;0;1 juridique hors moyenne;2026-08-18;https://aurele-it.fr/
Boscop;Cabinet / conseil;1 tarif(s) public(s) relevé(s);Audit RGPD de site web;1;1;0;0;0;1 marché;2026-08-18;https://boscop.fr/
CODPO;Cabinet / DPO;1 tarif(s) public(s) relevé(s);DPO externalisé;1;0;1;0;0;1 DPO hors moyenne;2026-08-18;https://codpo.fr/
Conformis / Confiance Digitale;Logiciel;1 tarif(s) public(s) relevé(s);Logiciel de conformité RGPD;1;1;0;0;0;1 marché;2026-08-18;https://www.confiance-digitale.fr/
Data Privacy Professionals;Cabinet / DPO;2 tarif(s) public(s) relevé(s);DPO externalisé;2;0;2;0;0;2 DPO hors moyenne;2026-08-18;https://www.dataprivacy.pro/
Deshoulières Avocats;Cabinet d'avocat;1 tarif(s) public(s) relevé(s);Mise en conformité RGPD;1;0;0;1;0;1 juridique hors moyenne;2026-08-18;https://www.deshoulieres-avocats.com/
D. Mouvrard;Cabinet / conseil;12 tarif(s) public(s) relevé(s);Diagnostic RGPD simple · Mise en conformité RGPD · DPO externalisé · +1 autre(s);12;9;3;0;0;9 marché · 3 DPO hors moyenne;2026-08-18;https://dmouvrard.com/
EgideCyber;Cabinet cyber / DPO;2 tarif(s) public(s) relevé(s);DPO externalisé;2;0;2;0;0;2 DPO hors moyenne;2026-08-18;https://egidecyber.com/
Fast RGPD;Cabinet / conseil;1 tarif(s) public(s) relevé(s);Audit RGPD complet;1;1;0;0;0;1 marché;2026-08-18;https://fastrgpd.com/
Lexagone;Cabinet / DPO;1 tarif(s) public(s) relevé(s);DPO externalisé;1;0;1;0;0;1 DPO hors moyenne;2026-08-18;https://www.lexagone.fr/
Malt;Plateforme de freelances;14 relevés anonymisés sur 14 profils;Conseil RGPD / DPO — TJM;14;14;0;0;0;14 marché;2026-08-18;https://www.malt.fr/
mydari;Cabinet conformité / DPO;1 tarif(s) public(s) relevé(s);DPO externalisé;1;0;1;0;0;1 DPO hors moyenne;2026-08-18;https://www.mydari.fr/
Apave;Groupe de conseil / conformité;1 tarif(s) public(s) relevé(s);Mise en conformité RGPD;1;1;0;0;0;1 marché;2026-08-18;https://ressources.apave.com/
Cabinet Mizrahi;Cabinet d'avocat;1 tarif(s) public(s) relevé(s);Audit RGPD organisation;1;0;0;1;0;1 juridique hors moyenne;2026-08-18;https://rgpd-avocat-mizrahi.com/
RGPD Express;Plateforme + expert;1 tarif(s) public(s) relevé(s);Plateforme RGPD + accompagnement;1;1;0;0;0;1 marché;2026-08-18;https://www.rgpd-express.com/
RGPDBox;Plateforme + accompagnement;1 tarif(s) public(s) relevé(s);Pack conformité par traitement;1;1;0;0;0;1 marché;2026-08-18;https://www.rgpdbox.com/
